,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,USA,400546,211,12857,16,21711,365978,9169,1210,39,2082431,6291
1,Spain,141942,0,14045,0,43208,84689,7069,3036,300,355000,7593
2,Italy,135586,0,17127,0,24392,94067,3792,2243,283,755445,12495
3,France,109069,0,10328,0,19337,79404,7131,1671,158,224254,3436
4,Germany,107663,0,2016,0,36081,69566,4895,1285,24,918460,10962
5,China,81802,62,3333,2,77279,1190,189,57,2,0,0
6,Iran,62589,0,3872,0,27039,31678,3987,745,46,211136,2514
7,UK,55242,0,6159,0,135,48948,1559,814,91,266694,3929
8,Turkey,34109,0,725,0,1582,31802,1474,404,9,222868,2643
9,Switzerland,22328,75,824,3,8704,12800,391,2580,95,167429,19346
10,Belgium,22194,0,2035,0,4157,16002,1260,1915,176,80512,6947
11,Netherlands,19580,0,2101,0,250,17229,1424,1143,123,86589,5053
12,Canada,17897,0,381,0,4028,13488,426,474,10,348105,9223
13,Brazil,14049,15,688,2,127,13234,296,66,3,54824,258
14,Austria,12709,70,243,0,4046,8420,243,1411,27,115235,12795
15,Portugal,12442,0,345,0,184,11913,271,1220,34,121256,11892
16,S. Korea,10384,53,200,8,6776,3408,55,203,4,477304,9310
17,Israel,9404,156,71,6,801,8532,147,1086,8,117339,13557
18,Sweden,7693,0,591,0,205,6897,640,762,59,54700,5416
19,Russia,7497,0,58,0,494,6945,8,51,0.4,795000,5448
20,Norway,6086,0,89,0,32,5965,78,1123,16,113896,21009
21,Australia,6010,22,50,1,2547,3413,89,236,2,318064,12473
22,Ireland,5709,0,210,0,25,5474,165,1156,43,42484,8604
23,India,5360,9,164,4,468,4728,0,4,0.1,140293,102
24,Chile,5116,0,43,0,898,4175,337,268,2,57122,2988
25,Denmark,5071,0,203,0,1491,3377,127,875,35,58419,10086
26,Czechia,5033,16,91,3,181,4761,103,470,8,98681,9215
27,Poland,4848,0,129,0,191,4528,50,128,3,92215,2437
28,Romania,4417,0,205,8,460,3752,274,230,11,43578,2265
29,Japan,4257,0,93,0,622,3542,80,34,0.7,55311,437
30,Pakistan,4072,37,58,1,467,3547,25,18,0.3,42159,191
31,Ecuador,3995,0,220,0,140,3635,156,226,12,14406,817
32,Malaysia,3963,0,63,0,1321,2579,92,122,2,55566,1717
33,Philippines,3764,0,177,0,84,3503,1,34,2,24500,224
34,Luxembourg,2970,0,44,0,500,2426,35,4745,70,25702,41059
35,Peru,2954,0,107,0,1301,1546,109,90,3,21555,654
36,Saudi Arabia,2795,0,41,0,615,2139,41,80,1,0,0
37,Mexico,2785,346,141,16,633,2011,89,22,1,25410,197
38,Indonesia,2738,0,221,0,204,2313,0,10,0.8,14354,52
39,Finland,2487,179,34,0,300,2153,81,449,6,34900,6299
40,Serbia,2447,0,61,0,118,2268,109,280,7,9626,1102
41,Thailand,2369,111,30,3,888,1451,61,34,0.4,71860,1030
42,UAE,2359,0,12,0,186,2161,1,239,1,220000,22244
43,Panama,2249,149,59,4,16,2174,91,521,14,10297,2386
44,Qatar,2057,0,6,0,150,1901,37,714,2,41818,14515
45,Dominican Republic,1956,0,98,0,36,1822,147,180,9,4542,419
46,Greece,1832,0,81,0,269,1482,90,176,8,28584,2742
47,Colombia,1780,0,50,0,100,1630,76,35,1,30445,598
48,South Africa,1749,0,13,0,95,1641,7,29,0.2,58098,980
49,Argentina,1715,0,60,0,338,1317,96,38,1,11778,261
50,Ukraine,1668,206,52,7,35,1581,16,38,1,7205,165
51,Iceland,1586,0,6,0,559,1021,11,4648,18,28991,84957
52,Singapore,1481,0,6,0,377,1098,29,253,1,65000,11110
53,Algeria,1468,0,193,0,113,1162,46,33,4,3359,77
54,Egypt,1450,0,94,0,276,1080,0,14,0.9,25000,244
55,Croatia,1282,0,18,0,167,1097,35,312,4,12322,3002
56,New Zealand,1210,50,1,0,282,927,4,251,0.2,46875,9721
57,Morocco,1184,0,90,0,93,1001,1,32,2,5437,147
58,Estonia,1149,0,21,0,69,1059,12,866,16,23546,17750
59,Iraq,1122,0,65,0,373,684,0,28,2,26331,655
60,Slovenia,1059,0,36,0,102,921,30,509,17,29455,14168
61,Moldova,1056,0,22,0,40,994,80,262,5,5108,1266
62,Hong Kong,936,0,4,0,236,696,12,125,0.5,96709,12900
63,Lithuania,912,32,15,0,8,889,11,335,6,30108,11060
64,Hungary,895,78,58,11,94,743,17,93,6,25748,2665
65,Armenia,881,28,9,1,114,758,30,297,3,5452,1840
66,Belarus,861,0,13,0,54,794,31,91,1,43000,4551
67,Bahrain,811,0,5,0,458,348,4,477,3,47684,28023
68,Bosnia and Herzegovina,764,0,33,0,68,663,4,233,10,6911,2106
69,Kuwait,743,0,1,0,105,637,23,174,0.2,0,0
70,Azerbaijan,717,0,8,0,44,665,23,71,0.8,53300,5257
71,Diamond Princess,712,0,11,0,619,82,10,0,0,0,0
72,Kazakhstan,704,7,6,0,51,647,21,37,0.3,56775,3024
73,Cameroon,685,0,9,0,60,616,0,26,0.3,0,0
74,Tunisia,623,0,23,0,25,575,67,53,2,8274,700
75,North Macedonia,599,0,26,0,30,543,15,288,12,5879,2822
76,Bulgaria,581,4,23,0,42,516,21,84,3,15899,2288
77,Slovakia,581,0,2,0,13,566,3,106,0.4,17639,3231
78,Lebanon,548,0,19,0,62,467,29,80,3,10221,1497
79,Latvia,548,0,2,0,16,530,5,291,1,22575,11969
80,Andorra,545,0,22,0,39,484,17,7054,285,1673,21653
